Zip Code,totalPop,whiteAlonePop,blackAlonePop,nativeAlonePop,asianAlonePop,hawaiiAlonePop,otherAlonePop,twoOrMorePop
2135,42780,31817,2146,72,5730,13,1829,1173
2136,28488,10498,13234,117,506,23,2917,1193
2138,36314,26530,2363,73,5401,7,460,1480
2139,36349,22635,5218,86,5758,22,937,1693
2140,17607,10845,3246,54,2376,6,332,748
2141,11910,8200,1233,25,1511,2,469,470
2142,3141,1920,190,6,863,1,44,117
2143,24514,18889,1256,61,2471,12,1024,801
2144,23891,20013,1218,37,1553,6,412,652
2145,25439,15719,2659,99,2201,13,3593,1155
2148,59503,33701,8804,104,11992,15,2953,1934
2149,41550,26112,5946,162,1984,18,5748,1580
2150,35124,16800,2982,370,1094,7,11809,2062
2151,51808,38381,2522,186,2888,13,6103,1715
2152,17497,16055,351,29,212,7,510,333
2155,57964,45428,4969,125,4209,9,1617,1607
2163,2582,1611,175,8,629,1,47,111
2169,55055,38914,3327,134,10066,13,1265,1336
2170,19505,12200,433,20,6375,5,168,304
2171,17711,10984,488,23,5733,3,176,304
2176,26983,24594,656,22,1022,5,235,449
2180,21437,19767,379,26,727,5,245,288
2184,35744,30976,972,62,2701,12,450,571
2186,27003,20901,3872,39,1118,5,381,687
2188,14608,12790,623,23,581,1,287,303
2189,14559,12728,642,39,400,5,424,321
2190,16119,14752,300,19,530,6,274,238
2191,8457,7960,86,15,209,0,73,114
2199,1146,963,16,1,143,0,2,21
2203,0,0,0,0,0,0,0,0
2210,2090,1843,39,2,148,2,15,41
2215,26125,18298,1061,37,5225,9,540,955
2301,61025,26158,20209,193,1573,40,8381,4471
2302,32741,17627,9065,139,578,12,3309,2011
2322,4356,3660,434,5,120,0,65,72
2324,26563,24163,1292,62,328,0,294,424
2330,11509,11002,136,18,46,1,112,194
2332,15059,14649,62,16,149,2,58,123
2333,13794,13139,216,28,117,0,93,201
2338,7518,7291,45,6,42,0,25,109
2339,13879,13392,110,15,161,5,67,129
2341,10218,9859,104,3,48,1,63,140
2343,10745,8908,954,28,314,3,255,283
2346,23106,22000,361,56,170,4,147,368
2347,10612,10272,80,13,86,1,44,116
2351,16029,14824,344,47,284,2,308,220
2356,12564,11639,361,15,288,3,104,154
2357,1360,1274,34,0,11,0,21,20
2359,17828,17265,109,29,170,3,79,173
2360,56271,52842,1086,190,516,22,638,977
2364,12629,12137,133,14,116,1,66,162
2366,197,113,61,3,0,0,11,9
2367,2820,2731,24,8,22,0,8,27
2368,32158,13389,12321,108,3998,4,1203,1135
2370,17489,16095,452,27,192,5,378,340
2375,9188,8231,350,5,264,2,131,205
2379,6916,6564,104,7,75,0,67,99
2382,14489,13768,180,35,111,5,150,240
2420,14052,10770,173,13,2686,1,58,351
2421,17342,12935,300,12,3554,2,88,451
2445,20679,16071,793,22,2916,1,256,620
2446,29311,22580,796,38,4641,11,359,886
2451,17426,13173,1122,34,1940,6,719,432
2452,14238,11293,879,25,1469,6,273,293
2453,28968,21231,1650,80,2451,61,2713,782
2457,1432,1018,69,2,251,0,33,59
2458,12131,10026,286,16,1276,3,232,292
2459,19095,15759,423,17,2268,4,159,465
2460,8742,7293,246,8,862,0,99,234
2461,7059,5585,157,10,1084,4,67,152
2462,1554,1242,67,1,212,0,4,28
2464,2953,2178,129,2,506,2,58,78
2465,11710,9826,289,19,1077,0,209,290
2466,8096,6546,240,9,1076,0,71,154
2467,22491,17243,937,16,3346,7,312,630
2468,5273,4689,81,3,383,1,21,95
2472,32014,27143,964,40,2322,14,671,860
2474,26312,22391,686,30,2281,8,251,665
2476,16532,14326,354,19,1269,0,166,398
2478,24664,20605,450,28,2724,3,194,660
2481,16244,13728,370,28,1641,1,124,352
2482,10306,9071,132,6,864,6,40,187
2492,19931,18343,187,9,1038,2,63,289
2493,11261,9611,230,8,1114,0,70,228
2494,8955,7884,101,2,721,6,63,178
2532,12690,11801,173,81,159,6,156,314
2534,842,791,4,0,5,0,18,24
2535,1177,1014,20,85,3,0,9,46
2536,19583,17790,417,139,225,4,363,645
2537,6293,6111,16,16,60,0,16,74
2538,3603,3154,115,32,32,3,142,125
2539,4067,3591,102,20,23,3,224,104
2540,8221,7653,138,40,128,7,103,152
2542,1139,956,96,10,12,0,36,29
2543,635,580,10,0,25,0,8,12
2553,226,218,1,0,0,0,4,3
2554,9852,8612,682,6,116,1,256,179
2556,3115,2977,29,4,31,1,22,51
2557,4491,3780,220,44,52,5,170,220
2558,2156,1681,154,18,18,0,138,147
2559,3376,3220,56,19,23,0,8,50
2561,539,501,12,2,4,0,6,14
2562,2977,2841,16,12,41,1,25,41
2563,10359,10016,36,12,135,6,48,106
2564,310,291,6,0,2,0,4,7
2568,4000,3451,144,17,31,1,214,142
2571,10481,9092,328,60,51,1,447,502
2575,2725,2584,25,17,19,1,25,54
2576,3754,3288,113,13,40,1,179,120
2584,10,10,0,0,0,0,0,0
2601,14089,10980,973,170,283,9,868,806
2630,1850,1796,11,2,9,4,5,23
2631,9679,9360,71,15,85,2,49,97
2632,10742,10005,190,32,123,10,180,202
2633,3884,3723,75,8,17,0,18,43
2635,3296,3170,24,16,16,0,17,53
2637,253,240,4,0,7,0,1,1
2638,3207,3091,29,14,8,8,16,41
2639,2875,2545,127,20,15,0,76,92
2641,532,524,1,0,0,0,4,3
2642,4937,4793,34,12,28,3,12,55
2643,26,25,0,0,1,0,0,0
2644,3955,3801,27,23,51,0,13,40
2645,9663,9001,153,39,71,0,204,195
2646,1676,1607,14,3,10,0,21,21
2647,129,124,1,0,0,0,2,2
2648,7301,6882,106,41,59,1,58,154
2649,14006,12484,320,432,171,9,178,412
