TractFIPS_1,PlaceName_1,Population2010,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,ARTHRITIS_CrudePrev,CASTHMA_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,STROKE_CrudePrev,ACCESS2_CrudePrev,CHECKUP_CrudePrev,DENTAL_CrudePrev,BPMED_CrudePrev,CHOLSCREEN_CrudePrev,MAMMOUSE_CrudePrev,PAPTEST_CrudePrev,COLON_SCREEN_CrudePrev,COREM_CrudePrev,COREW_CrudePrev
25025000703,"Boston, MA",2791,25025000703,26.3,12.7,18,16.7,33.3,6.2,10.4,10.4,1.6,14.8,1.3,2.3,1.3,2.9,15.1,6.2,12,0.8,7.3,65.7,67.2,42.5,61.9,83.9,79,59,24.4,26.5
25025000704,"Boston, MA",4801,25025000704,27.8,11.1,16,17.4,31.9,8.2,9.7,12.6,2.4,18.3,1.4,2.2,1.7,3.9,12.4,6,9.1,1,6.4,67.1,73.3,54,69.1,85.3,84,64.3,28,28.6
25025000802,"Boston, MA",8136,25025000802,26.3,15.6,21,19.9,34.8,9.7,10.1,14.9,2.6,20.6,1.8,3.3,2.4,5,15,8.2,15.8,1.4,10,66.4,65,55.4,65.5,82.8,81,59.3,26.4,27.4
25025000803,"Boston, MA",6584,25025000803,27.5,13.9,18,16,33.6,5.2,11.4,8.8,1.3,11.9,1.2,2.3,1,2.2,17.1,6.1,15.6,0.7,8.4,65.7,66.3,33.5,58.3,82.5,79,61.2,25.8,25.6
25025010103,"Boston, MA",4569,25025010103,26.1,13.5,19,14.2,34,4.2,11.6,7.3,1,9.9,1.1,2.1,0.7,1.6,18.3,5.9,19.8,0.5,8.9,66,66,23.7,55,81.9,74,61.5,26.4,26.2
25025010104,"Boston, MA",4804,25025010104,27.2,12,17,16.1,31.6,9.2,10.2,12.6,2.9,18.4,1.5,2.7,2,3.8,13.6,6.4,10.9,1.1,7,67.9,74.1,56.8,66.7,81.9,82,69.4,29.7,31
25025010203,"Boston, MA",5569,25025010203,24.8,15.1,20,20.7,33.8,10.5,10.5,15.4,3,20.8,1.9,3.5,2.6,4.9,15.2,8.3,14.9,1.5,8.2,66.8,65.4,57,66.1,83,84,61.8,26.6,25.8
25025010204,"Boston, MA",3173,25025010204,27.3,13.9,18,16.4,33,6,11.2,9.5,1.5,13.4,1.2,2.5,1.2,2.4,16.8,6.4,15.5,0.7,7.7,65.7,68.5,38.2,59.4,83.7,78,62.1,27.2,27.7
25025010300,"Boston, MA",4861,25025010300,26.9,15.8,20,17.7,33.2,5.6,13.3,8.9,1.2,11.6,1.3,2.8,1,2.3,21.1,7.1,15,0.7,9,66.2,68.2,32.2,54.9,84.6,76,62.3,23,23.8
25025010403,"Boston, MA",3003,25025010403,23.5,14.4,21,20.2,33.4,13.7,10.1,19.7,4.1,25.2,2.3,4.1,3.7,7,13.9,8.9,14,2.1,8.7,69.6,67.5,67.9,69.4,83.7,83,66.2,26.6,26.2
