TractFIPS_1,PlaceName_1,Population2010,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,ARTHRITIS_CrudePrev,CASTHMA_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,STROKE_CrudePrev,ACCESS2_CrudePrev,CHECKUP_CrudePrev,DENTAL_CrudePrev,BPMED_CrudePrev,CHOLSCREEN_CrudePrev,MAMMOUSE_CrudePrev,PAPTEST_CrudePrev,COLON_SCREEN_CrudePrev,COREM_CrudePrev,COREW_CrudePrev
6075026303,"San Francisco, CA",4551,06075026303,14.7,13.2,23,17,34.4,17.9,7.1,29.5,5.3,33.8,3.2,4.4,5.4,12.8,10.7,11.9,12.2,3.1,14.3,69.1,58.7,73.2,80.3,77.1,76,57.6,26.5,25.4
6075026401,"San Francisco, CA",4044,06075026401,14,14,24,16.7,36,17.7,7.6,30,4.9,33.4,3.1,4.4,5.3,13.2,11.1,12,13,3.1,14.7,69.8,57.2,73.3,79.9,76.8,74,56.9,25.9,25
6075026402,"San Francisco, CA",4118,06075026402,16.5,12.3,20,16.6,34.2,16.2,7.3,27.2,4.8,31.1,2.6,3.7,4.2,10.9,10,10,8.9,2.5,12.2,69.3,66.5,71.2,81.4,78.6,77,63.9,29.5,29.1
6075026403,"San Francisco, CA",4140,06075026403,13.5,13.9,24,15.5,35.4,17.7,7.2,30,5,34.1,3.1,4.4,5.3,13.4,10.7,11.9,11.2,3.1,14.2,69.9,59.8,73.8,80.3,75.9,73,57.8,27.2,26.5
6075026404,"San Francisco, CA",2851,06075026404,16.3,16.3,25,21,37.3,17.1,8.9,29,4.4,30.8,3.1,4.8,4.9,12.4,13.3,13,16.5,3.1,17.9,67.9,52.7,69.3,76.9,77.8,78,54.5,23.9,22.7
6075030101,"San Francisco, CA",4233,06075030101,25.2,9.9,12,16.9,28.5,12.4,8,18,4.3,23.7,1.7,2.7,2.5,5,9.8,6.9,5.1,1.4,6.2,63.1,76.1,59.8,79.3,82.1,85,71.1,36.6,33.3
6075030102,"San Francisco, CA",4838,06075030102,24.1,7.8,11,15.6,26.8,14.4,7.2,20.2,5.7,26.1,1.9,2.6,3,5.3,8,6.4,4.2,1.5,5.1,65.9,80.5,65.4,83.2,82.4,86,75.4,40.5,37
6075030201,"San Francisco, CA",3928,06075030201,22.4,9.4,13,15.2,28.5,14.1,7.5,20.9,5.2,26.9,2,2.9,3.2,6.4,9,7.3,5.7,1.7,6.7,66,75.9,66.5,81.4,80.7,84,70.3,36.4,32.8
6075030202,"San Francisco, CA",4313,06075030202,24,9.5,13,15.7,28.7,12.5,7.6,18.7,4.4,24.4,1.8,2.6,2.6,5.5,9.3,6.8,5.2,1.5,6.4,64.1,75.7,62.4,79.8,81.4,84,70.7,35.1,32.9
6075030301,"San Francisco, CA",5658,06075030301,19.9,9.3,14,14.8,28.1,16.1,7.4,23.8,5.9,29.5,2.3,3.3,3.9,7.7,8.7,8,5.6,2.1,7,68.2,76.8,70.5,83,79.9,83,71.1,36.5,33.8
