TractFIPS_1,PlaceName_1,Population2010,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,ARTHRITIS_CrudePrev,CASTHMA_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,STROKE_CrudePrev,ACCESS2_CrudePrev,CHECKUP_CrudePrev,DENTAL_CrudePrev,BPMED_CrudePrev,CHOLSCREEN_CrudePrev,MAMMOUSE_CrudePrev,PAPTEST_CrudePrev,COLON_SCREEN_CrudePrev,COREM_CrudePrev,COREW_CrudePrev
17031380700,"Chicago, IL",1243,17031380700,15.8,23.3,34,43.7,43.8,28.2,11.4,47,5.9,33.3,4.4,9,7.5,17.7,14.4,15.6,22.8,5.7,17.6,77.3,48.4,79.3,86.5,81.2,88,55.8,24.2,20.6
17031381200,"Chicago, IL",2167,17031381200,17.2,17.2,27,39.5,41.2,22.8,10.9,38.9,5.2,27.9,3.6,5.9,5,12.8,12.6,11.5,14.5,4,12.8,76.6,59.7,75.7,86.5,83.1,90,62.3,27.8,23.7
17031381400,"Chicago, IL",1612,17031381400,18.4,22.1,30,41.6,45.9,21.5,11.8,37.9,4.2,26.6,3.4,6.6,4.8,12.6,14.9,12.7,26.1,3.9,16.4,75.1,43.7,72.2,83.7,81.1,88,52.4,22.2,19.6
17031381500,"Chicago, IL",237,17031381500,15.2,25.7,36,46.9,46.1,24.6,12.7,41.7,4.5,28.8,4.2,8.6,5.7,15.4,17.6,16.3,28.1,5,18.9,74.7,42.9,74.7,83.2,80.6,88,50.3,23.4,18
17031381800,"Chicago, IL",1188,17031381800,17.7,21.5,31,41.6,43.7,23.4,11,40.8,5,29.1,3.8,7.1,5.9,14.1,13.9,13.2,21.4,4.5,16.5,75.3,49.3,75,84.9,81.7,88,56,24.5,20.2
17031381900,"Chicago, IL",1295,17031381900,17.1,19.3,29,39.8,42.6,24.3,11.4,40.2,5.3,29.1,3.7,6.9,5.5,13.8,13.4,12.7,19.1,4.3,14.8,76.4,53.2,76.4,86.1,82.1,89,58.8,24.4,21.9
17031390100,"Chicago, IL",1268,17031390100,19.7,15.7,23,35.5,40,19.5,10.7,33.6,4.4,25.6,2.7,4.7,3.6,10.1,11.3,9.6,11.4,2.8,12,75.5,64.6,72.4,87.1,83.4,89,64.4,30.2,26.7
17031390200,"Chicago, IL",1840,17031390200,19.7,14.7,23,35.4,39.9,18.9,10.2,32.5,4.4,25.4,2.7,4.4,3.4,9.7,10.9,9.3,11.1,2.7,10.9,74.4,64.3,71.9,87.5,83.6,90,63.8,29.1,26.9
17031390300,"Chicago, IL",2743,17031390300,13.8,21.6,35,43.8,43.7,28.8,11.7,47.2,6.2,33.4,5.2,9.5,8.6,18.6,15.1,16.4,28.6,6.5,16.8,77.5,42.9,80.3,85.2,81.6,88,51.7,22.3,17.6
17031390400,"Chicago, IL",2934,17031390400,13.7,19.1,33,41,40.9,30.2,11.4,47.9,7,34.7,5.1,9.2,8.8,18.7,13.5,15.4,21.7,6.4,15.5,78.5,50.8,82.1,86.9,81.5,88,59.2,24.7,20.2
17031390500,"Chicago, IL",1598,17031390500,19.3,13.4,22,33.2,36.3,20.6,9.8,33.2,5.3,27.8,3,5,4.5,10.4,10.9,9.6,10.8,3.1,10.1,73.6,66.5,74.7,86.2,82.1,89,64.6,34,27
17031390600,"Chicago, IL",1866,17031390600,21.2,9.5,17,27,31.9,19.9,8.5,29.4,6.1,28.3,2.5,3.9,4,8.4,8.4,7.5,5.8,2.4,7,72.2,75.6,75.6,88.1,81.8,89,71.4,38.7,32.3
17031390700,"Chicago, IL",5592,17031390700,18.1,10.9,21,28.7,33.3,22.5,8.9,34.2,6.5,29.5,3.2,4.9,5,10.9,9.2,9,8.4,3.3,9.2,73.9,70.5,79.3,86.5,82.9,88,69.5,34.9,28.4
17031400300,"Chicago, IL",1567,17031400300,16.3,26.1,36,45.9,46,23.3,12.3,41.1,4.2,28.2,4.1,8.4,5.7,14.8,17.5,15.7,27.8,4.8,19.2,74.4,41.6,72.9,81.3,82.6,88,50.2,22.3,17.4
