TractFIPS_1,PlaceName_1,Population2010,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,LPA_CrudePrev,OBESITY_CrudePrev,SLEEP_CrudePrev,ARTHRITIS_CrudePrev,CASTHMA_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,COPD_CrudePrev,CHD_CrudePrev,DIABETES_CrudePrev,MHLTH_CrudePrev,PHLTH_CrudePrev,TEETHLOST_CrudePrev,STROKE_CrudePrev,ACCESS2_CrudePrev,CHECKUP_CrudePrev,DENTAL_CrudePrev,BPMED_CrudePrev,CHOLSCREEN_CrudePrev,MAMMOUSE_CrudePrev,PAPTEST_CrudePrev,COLON_SCREEN_CrudePrev,COREM_CrudePrev,COREW_CrudePrev
48201433100,"Houston, TX",3748,48201433100,18.7,25.2,41,40.7,40.9,13.9,9.4,27.8,2.5,28.7,3,5.3,4,11.3,19.4,15.5,27.9,2.8,47.7,63,36.7,59.5,67.3,76.9,80,42.3,19.2,20.7
48201433201,"Houston, TX",5118,48201433201,15.1,18.7,35,30.6,38.5,19.3,8,33.6,4.9,37.1,3.4,5.9,6.4,14.5,13.8,13.8,21.3,3.6,32.6,69.7,46.1,74.1,77.4,73.4,76,49.1,24.3,25.7
48201433202,"Houston, TX",4336,48201433202,15.8,18.3,37,31.9,36.6,19.4,7.5,32.7,5,37.8,3.5,6.1,6.9,14.8,14,14.6,21.4,3.6,37.3,67.5,47.3,73.5,76.6,72.5,77,49.6,25.4,26.1
48201433300,"Houston, TX",5196,48201433300,15.4,14.4,31,29.4,33.6,22.8,7.1,34.9,7,40,3.6,6.2,7.6,14.1,11.4,13,16.5,3.8,26.6,70.9,57.1,77.8,82.1,73.9,78,56.5,29.2,29.8
48201433400,"Houston, TX",4406,48201433400,18.2,21.1,37,36.8,37.9,17.3,8.5,31,3.9,33.7,3.2,5.7,5.4,13.1,15.9,14.5,19.5,3.2,39.1,66.1,48.1,68.1,73.8,75.6,80,51.5,24.9,26.7
48201433501,"Houston, TX",6161,48201433501,19.8,24.8,41,40.8,41,12.7,8.8,26.1,2.3,28.1,2.8,4.9,3.8,10.7,19.1,15.2,33.6,2.5,50.6,60.8,30.2,56.4,66.1,77.2,80,37.6,16.5,17.6
48201433502,"Houston, TX",7116,48201433502,18.2,25.5,43,40.9,40.8,14.1,8.7,28.7,2.5,31,3.2,5.6,4.7,12.8,19.3,16.6,31.5,3,50.6,61.5,31.5,60.8,66.6,75,79,36.9,16.4,18.4
48201433600,"Houston, TX",5281,48201433600,18.1,24.3,38,40.8,43,16,9.5,32.1,3,30.5,3,5.5,4.4,12.2,17.4,14.3,25.9,3.1,37.2,67.7,38,65.8,72.9,78,81,43.8,18.8,20.7
48201440100,"Houston, TX",4042,48201440100,20.9,16,30,33.4,35.9,16.8,7.5,28.8,4.4,33.2,2.8,4.7,4.8,11.2,12.5,11.7,17.6,2.7,32.2,66.4,52.6,68.9,78.3,76.3,81,55.5,26,28.1
48201450100,"Houston, TX",1756,48201450100,18.5,8.7,19,23.4,27.5,21.6,6.7,29.1,8.2,37.3,2.6,3.9,5.1,8.5,8,8.2,5.7,2.4,10.7,72.3,79.2,76.9,88.1,77.2,84,70.8,40.7,41
